work_id,section_id,section_title,topic_ids
institutes-1559,inst1559_1_1,The Knowledge of God and of Ourselves Mutually Connected.Nature of the Connection.,theology-nature-of
institutes-1559,inst1559_1_2,"What It Is to Know God,Tendency of This Knowledge.",theology-nature-of
institutes-1559,inst1559_1_3,The Knowledge of God Naturally Implanted in the Human Mind.,theology-natural
institutes-1559,inst1559_1_4,"The Knowledge of God Stifled or Corrupted, Ignorantly or Maliciously.",theology-natural
institutes-1559,inst1559_1_5,"The Knowledge of God Conspicuous in the Creation, and Continual Government of the World.",theology-natural
institutes-1559,inst1559_1_6,"The Need of Scripture, as a Guide and Teacher, in Coming to God as a Creator",scripture-necesity
institutes-1559,inst1559_1_7,The Testimony of the Spirit Necessary to Give Full Authority to Scripture. The Impiety of Pretending That the Credibility of Scripture Depends on the Judgment of the Church.,scripture-authority
institutes-1559,inst1559_1_8,The Credibility of Scripture Sufficiently Proved in So Far as Natural Reason Admits.,scripture-credibility
institutes-1559,inst1559_1_9,"All the Principles of Piety Subverted by Fanatics, Who Substitute Revelations for Scripture.",scripture-sufficiency
institutes-1559,inst1559_1_10,"In Scripture, the True God Opposed, Exclusively, to All the Gods of the Heathen.",god-unity
institutes-1559,inst1559_1_11,Impiety of Attributing a Visible Form to God.The Setting up of Idols a Defection from the True God.,god-spirit
institutes-1559,inst1559_1_12,"God Distinguished from Idols, That He May Be the Exclusive Object of Worship.",idolatry
institutes-1559,inst1559_1_13,"The Unity of the Divine Essence in Three Persons Taught, in Scripture, from the Foundation of the World.","god-unity,trinity"
institutes-1559,inst1559_1_14,"In the Creation of the World, and All Things in It, the True God Distinguished by Certain Marks from Fictitious Gods.",creation
institutes-1559,inst1559_1_15,"State in Which Man Was Created. The Faculties of the Soul, The Image of God, Free Will, Original Righteousness","man-creation,god-image"
institutes-1559,inst1559_1_16,"The World, Created by God, Still Cherished and Protected by Him. Each and All of Its Parts Governed by His Providence.","creation,providence"
institutes-1559,inst1559_1_17,Use to Be Made of the Doctrine of Providence.,providence
institutes-1559,inst1559_1_18,"The Instrumentality of the Wicked Employed by God, While He Continues Free from Every Taint",reprobate
institutes-1559,inst1559_2_1,"Through the Fall and Revolt of Adam, the Whole Human Race Made Accursed and Degenerate. Of Original Sin.","fall,original-sin"
institutes-1559,inst1559_2_2,"Man Now Deprived of Freedom of Will, and Miserably Enslaved.",man-will
institutes-1559,inst1559_2_3,Every Thing Proceeding from the Corrupt Nature of Man Damnable.,original-sin
institutes-1559,inst1559_2_4,How God Works in the Hearts of Men.,man-will
institutes-1559,inst1559_2_5,The Arguments Usually Alleged in Support of Free Will Refuted.,man-will
institutes-1559,inst1559_2_6,Redemption for Man Lost to Be Sought in Christ.,redemption
